"統計名：","国民医療費"
"表番号：","17"
"表題：","国民医療費・人口一人当たり国民医療費，診療種類・都道府県別"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","統計項目のあり得ない場合"
"-","計数のない場合"
"-0.0"," "
"…","計数不明又は計数を表章することが不適当な場合"

"","","","","/国民医療費・人口一人当たり国民医療費、診療種類 補助コード","-","-","-","-","-","-","-","-","-","-","-"
"時間軸（年度次） 補助コード","時間軸（年度次）","都道府県 補助コード","都道府県","/国民医療費・人口一人当たり国民医療費、診療種類","国民医療費_総数【億円】","国民医療費_医科診療医療費【億円】","国民医療費_医科診療医療費_入院【億円】","国民医療費_医科診療医療費_入院外【億円】","国民医療費_歯科診療医療費【億円】","国民医療費_薬局調剤医療費【億円】","国民医療費_入院時食事・生活医療費【億円】","国民医療費_訪問看護医療費【億円】","国民医療費_療養費等【億円】","人口一人当たり国民医療費【千円】","総人口【千人】"
"","2014年度","","京都府","","8,612","***","3,380","3,032","***","***","***","***","***","330.0","2,610"
"","2014年度","","大阪府","","30,744","***","11,321","10,756","***","***","***","***","***","347.9","8,836"
"","2014年度","","兵庫県","","18,366","***","6,781","6,374","***","***","***","***","***","331.5","5,541"
"","2014年度","","奈良県","","4,456","***","1,664","1,687","***","***","***","***","***","323.9","1,376"
"","2014年度","","和歌山県","","3,467","***","1,293","1,349","***","***","***","***","***","357.1","971"
"","2014年度","","鳥取県","","1,945","***","816","618","***","***","***","***","***","338.8","574"
"","2014年度","","島根県","","2,548","***","1,066","808","***","***","***","***","***","365.6","697"
"","2014年度","","岡山県","","6,739","***","2,676","2,427","***","***","***","***","***","350.3","1,924"
"","2014年度","","広島県","","10,102","***","3,753","3,503","***","***","***","***","***","356.6","2,833"
"","2014年度","","山口県","","5,456","***","2,323","1,665","***","***","***","***","***","387.5","1,408"
"","2014年度","","徳島県","","2,896","***","1,184","1,013","***","***","***","***","***","379.1","764"
"","2014年度","","香川県","","3,596","***","1,372","1,253","***","***","***","***","***","366.6","981"
"","2014年度","","愛媛県","","5,044","***","2,026","1,856","***","***","***","***","***","361.6","1,395"
"","2014年度","","高知県","","3,112","***","1,450","889","***","***","***","***","***","421.7","738"
"","2014年度","","福岡県","","18,731","***","7,888","5,820","***","***","***","***","***","367.9","5,091"
"","2014年度","","佐賀県","","3,163","***","1,341","958","***","***","***","***","***","378.8","835"
"","2014年度","","長崎県","","5,497","***","2,430","1,621","***","***","***","***","***","396.6","1,386"
"","2014年度","","熊本県","","6,751","***","2,933","2,184","***","***","***","***","***","376.3","1,794"
"","2014年度","","大分県","","4,477","***","1,966","1,380","***","***","***","***","***","382.3","1,171"
"","2014年度","","宮崎県","","3,914","***","1,600","1,264","***","***","***","***","***","351.3","1,114"
"","2014年度","","鹿児島県","","6,515","***","2,956","1,980","***","***","***","***","***","390.6","1,668"
"","2014年度","","沖縄県","","4,353","***","1,961","1,322","***","***","***","***","***","306.3","1,421"
